,city,name,url,review_score,description,location
0,Mont Saint Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=27570603_91917367_0_2_0&highlighted_blocks=27570603_91917367_0_2_0&matching_block_id=27570603_91917367_0_2_0&sr_pri_blocks=27570603_91917367_0_2_0__36040&from=searchresults,"8,1","3 lits (2 lits simples, 1 lit double)",Le Mont-Saint-Michel
1,Mont Saint Michel,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=23079517_347524637_2_1_0&highlighted_blocks=23079517_347524637_2_1_0&matching_block_id=23079517_347524637_2_1_0&sr_pri_blocks=23079517_347524637_2_1_0__80300&from=searchresults,"8,2",Types de lits : 1 lit double ou 2 lits simples,Le Mont-Saint-Michel
2,Mont Saint Michel,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=5721303_403309482_0_2_0&highlighted_blocks=5721303_403309482_0_2_0&matching_block_id=5721303_403309482_0_2_0&sr_pri_blocks=5721303_403309482_0_2_0__78720&from=searchresults,"8,1",4 lits simples,Le Mont-Saint-Michel
3,Mont Saint Michel,Apparthôtel Mont Saint Michel - Résidence Fleurdumont,https://www.booking.com/hotel/fr/residence-fleurdumont.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=148225610_406999579_5_2_0&highlighted_blocks=148225610_406999579_5_2_0&matching_block_id=148225610_406999579_5_2_0&sr_pri_blocks=148225610_406999579_5_2_0__26720&from=searchresults,"8,4","4 lits (1 lit simple, 1 lit double, 2 lits superposés)",Beauvoir
4,Mont Saint Michel,Hotel Rose,https://www.booking.com/hotel/fr/gue-de-beauvoir.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=5925508_369814916_2_2_0&highlighted_blocks=5925508_369814916_2_2_0&matching_block_id=5925508_369814916_2_2_0&sr_pri_blocks=5925508_369814916_2_2_0__25158&from=searchresults,"8,5",Hébergement géré par un particulier,Beauvoir
5,Mont Saint Michel,Ermitage - Mont-Saint-Michel,https://www.booking.com/hotel/fr/ermitage-mont-saint-michel-beauvoir.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=735353103_370791756_2_42_0_136349&highlighted_blocks=735353103_370791756_2_42_0_136349&matching_block_id=735353103_370791756_2_42_0_136349&sr_pri_blocks=735353103_370791756_2_42_0_136349_91268&from=searchresults,"8,8",1 très grand lit double,Beauvoir
6,Mont Saint Michel,Au Mont Pour Deux,https://www.booking.com/hotel/fr/au-mont-pour-deux.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=601792101_394184586_2_0_0&highlighted_blocks=601792101_394184586_2_0_0&matching_block_id=601792101_394184586_2_0_0&sr_pri_blocks=601792101_394184586_2_0_0__32095&from=searchresults,"8,6",1 lit double,Pontorson
7,Mont Saint Michel,La Jacotière,https://www.booking.com/hotel/fr/la-jacotia-re.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=50711103_408148592_3_0_0&highlighted_blocks=50711103_408148592_3_0_0&matching_block_id=50711103_408148592_3_0_0&sr_pri_blocks=50711103_408148592_3_0_0__36122&from=searchresults,"9,3",1 lit double,Ardevon
8,Mont Saint Michel,"Maison chaleureuse, spacieuse et familiale",https://www.booking.com/hotel/fr/maison-chaleureuse-spacieuse-et-familiale.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=838392801_350280018_6_0_0&highlighted_blocks=838392801_350280018_6_0_0&matching_block_id=838392801_350280018_6_0_0&sr_pri_blocks=838392801_350280018_6_0_0__33220&from=searchresults,"9,4",Hébergement géré par un particulier,Beauvoir
9,Mont Saint Michel,"La Chaumière avec piscine privée, à 5 minutes du Mont St-Michel",https://www.booking.com/hotel/fr/la-chaumiere-a-5-minutes-du-mont-st-michel-huisnes-sur-mer.fr.html?aid=356980&label=gog235jc-10CAQoggI46wdIM1gDaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Arv8qcYGwAIB0gIkMDNiMzU0M2ItNGM4ZC00ZDBkLTgxYzAtMzBiY2Q4YTVmOGM12AIB4AIB&ucfs=1&arphpl=1&checkin=2025-09-17&checkout=2025-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d8bd421d90390406&srepoch=1758101052&all_sr_blocks=967996101_369237728_6_0_0&highlighted_blocks=967996101_369237728_6_0_0&matching_block_id=967996101_369237728_6_0_0&sr_pri_blocks=967996101_369237728_6_0_0__37000&from=searchresults,"8,3",Hébergement géré par un particulier,Huisnes-sur-Mer
