,city,date,cloudiness,temp_min,temp_max,humidity,pop,rain
0,Mont Saint Michel,2025-09-17,64,15.45,17.35,83,0.0,0.0
1,Mont Saint Michel,2025-09-17,36,18.65,20.72,63,0.0,0.0
2,Mont Saint Michel,2025-09-17,0,21.83,21.83,47,0.0,0.0
3,Mont Saint Michel,2025-09-17,0,18.6,18.6,72,0.0,0.0
4,Mont Saint Michel,2025-09-17,0,16.31,16.31,88,0.0,0.0
5,Mont Saint Michel,2025-09-18,0,15.59,15.59,94,0.0,0.0
6,Mont Saint Michel,2025-09-18,2,13.98,13.98,95,0.0,0.0
7,Mont Saint Michel,2025-09-18,4,13.61,13.61,96,0.0,0.0
8,Mont Saint Michel,2025-09-18,29,18.27,18.27,81,0.0,0.0
9,Mont Saint Michel,2025-09-18,35,23.42,23.42,58,0.0,0.0
10,Mont Saint Michel,2025-09-18,9,26.23,26.23,45,0.0,0.0
11,Mont Saint Michel,2025-09-18,11,21.76,21.76,59,0.0,0.0
12,Mont Saint Michel,2025-09-18,64,17.81,17.81,73,0.0,0.0
13,Mont Saint Michel,2025-09-19,66,16.21,16.21,80,0.0,0.0
14,Mont Saint Michel,2025-09-19,93,15.43,15.43,75,0.0,0.0
15,Mont Saint Michel,2025-09-19,92,15.32,15.32,45,0.0,0.0
16,Mont Saint Michel,2025-09-19,98,22.41,22.41,36,0.0,0.0
17,Mont Saint Michel,2025-09-19,93,28.95,28.95,25,0.0,0.0
18,Mont Saint Michel,2025-09-19,75,30.47,30.47,26,0.0,0.0
19,Mont Saint Michel,2025-09-19,59,24.86,24.86,39,0.0,0.0
20,Mont Saint Michel,2025-09-19,32,18.38,18.38,69,0.0,0.0
21,Mont Saint Michel,2025-09-20,66,17.09,17.09,73,0.0,0.0
22,Mont Saint Michel,2025-09-20,100,17.22,17.22,75,0.0,0.0
23,Mont Saint Michel,2025-09-20,73,14.98,14.98,80,0.0,0.0
24,Mont Saint Michel,2025-09-20,28,21.82,21.82,54,0.0,0.0
25,Mont Saint Michel,2025-09-20,59,24.7,24.7,40,0.0,0.0
26,Mont Saint Michel,2025-09-20,100,20.13,20.13,62,0.2,0.17
27,Mont Saint Michel,2025-09-20,100,15.23,15.23,78,0.7,0.73
28,Mont Saint Michel,2025-09-20,100,13.94,13.94,75,0.0,0.0
29,Mont Saint Michel,2025-09-21,100,12.54,12.54,82,0.0,0.0
30,Mont Saint Michel,2025-09-21,93,11.27,11.27,91,0.0,0.0
31,Mont Saint Michel,2025-09-21,66,11.29,11.29,88,0.2,0.22
32,Mont Saint Michel,2025-09-21,52,14.76,14.76,63,0.0,0.0
33,Mont Saint Michel,2025-09-21,54,16.53,16.53,48,0.0,0.0
34,Mont Saint Michel,2025-09-21,48,16.04,16.04,56,0.0,0.0
35,Mont Saint Michel,2025-09-21,42,12.43,12.43,71,0.0,0.0
36,Mont Saint Michel,2025-09-21,85,8.9,8.9,90,0.0,0.0
37,Mont Saint Michel,2025-09-22,85,8.89,8.89,90,0.0,0.0
38,Mont Saint Michel,2025-09-22,77,9.82,9.82,95,0.83,0.72
39,Mont Saint Michel,2025-09-22,63,9.98,9.98,92,0.77,0.48
40,St Malo,2025-09-17,68,15.21,17.05,86,0.0,0.0
41,St Malo,2025-09-17,35,17.84,19.62,70,0.0,0.0
42,St Malo,2025-09-17,0,20.25,20.25,57,0.0,0.0
43,St Malo,2025-09-17,0,18.28,18.28,78,0.0,0.0
44,St Malo,2025-09-17,0,16.84,16.84,88,0.0,0.0
45,St Malo,2025-09-18,0,16.41,16.41,91,0.0,0.0
46,St Malo,2025-09-18,0,15.13,15.13,93,0.0,0.0
47,St Malo,2025-09-18,0,15.15,15.15,93,0.0,0.0
48,St Malo,2025-09-18,66,18.54,18.54,78,0.0,0.0
