,city,name,url,review_score,description,location,lat,lon
0,Biarritz,Hôtel Barnea,https://www.booking.com/hotel/fr/hotelargieder.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5050003_391043745_2_2_0&highlighted_blocks=5050003_391043745_2_2_0&matching_block_id=5050003_391043745_2_2_0&sr_pri_blocks=5050003_391043745_2_2_0__17780&from=searchresults,"8,9",1 grand lit double,missing value,,
1,Biarritz,Le Talaia Hôtel & Spa Biarritz ,https://www.booking.com/hotel/fr/radisson-blu-hotel-biarritz.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=22254728_93715893_3_2_0&highlighted_blocks=22254728_93715893_3_2_0&matching_block_id=22254728_93715893_3_2_0&sr_pri_blocks=22254728_93715893_3_2_0__34596&from=searchresults,"8,8",1 lit simple,"{'tourism': 'Le Talaia Hôtel & Spa Biarritz', 'house_number': '1', 'road': ""Rond-Point d'Hélianthe"", 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4782099,-1.5644224
2,Biarritz,Hôtel Kemaris,https://www.booking.com/hotel/fr/best-western-kemaris.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=18027012_159399146_2_2_0&highlighted_blocks=18027012_159399146_2_2_0&matching_block_id=18027012_159399146_2_2_0&sr_pri_blocks=18027012_159399146_2_2_0__23180&from=searchresults,"8,4",1 grand lit double,"{'tourism': 'Hôtel Best Western Kemaris', 'road': 'Avenue du Maréchal Joffre', 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4765176,-1.5624959
3,Biarritz,ALFRED HOTELS Les Halles,https://www.booking.com/hotel/fr/hotelanjou.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5098416_388274543_2_2_0&highlighted_blocks=5098416_388274543_2_2_0&matching_block_id=5098416_388274543_2_2_0&sr_pri_blocks=5098416_388274543_2_2_0__19797&from=searchresults,"9,1",1 grand lit double,missing value,,
4,Biarritz,Hôtel du Palais Biarritz,https://www.booking.com/hotel/fr/hoteldupalaisbiarritz.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5148720_178750948_2_2_0&highlighted_blocks=5148720_178750948_2_2_0&matching_block_id=5148720_178750948_2_2_0&sr_pri_blocks=5148720_178750948_2_2_0__66624&from=searchresults,"9,5",2 lits simples,"{'tourism': 'Hôtel du Palais', 'road': ""Avenue de l'Impératrice"", 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4864348,-1.5563276
5,Biarritz,Hotel Saint Julien,https://www.booking.com/hotel/fr/saint-julien.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5354712_81953977_2_2_0&highlighted_blocks=5354712_81953977_2_2_0&matching_block_id=5354712_81953977_2_2_0&sr_pri_blocks=5354712_81953977_2_2_0__23300&from=searchresults,"9,2",Types de lits : 1 lit double ou 2 lits simples,"{'tourism': 'Hôtel Saint-Julien', 'road': 'Avenue Carnot', 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4790298,-1.5625226
6,Biarritz,Résidence Mer & Golf Eugénie,https://www.booking.com/hotel/fr/residence-mer-et-golf-eugenie.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=17164901_91464487_0_2_0&highlighted_blocks=17164901_91464487_0_2_0&matching_block_id=17164901_91464487_0_2_0&sr_pri_blocks=17164901_91464487_0_2_0__16096&from=searchresults,"7,8",1 canapé-lit,missing value,,
7,Biarritz,Hôtel Saint James,https://www.booking.com/hotel/fr/saint-james.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5796101_88559406_2_2_0&highlighted_blocks=5796101_88559406_2_2_0&matching_block_id=5796101_88559406_2_2_0&sr_pri_blocks=5796101_88559406_2_2_0__17176&from=searchresults,"7,7",1 lit double,"{'tourism': 'Hotel Saint James', 'house_number': '1', 'road': 'Rue des Halles', 'subdivision': 'Lapurdi', 'town': 'Biarritz', 'municipality': 'Bayonne', 'county': 'Pyrénées-Atlantiques', 'ISO3166-2-lvl6': 'FR-64', 'state': 'Nouvelle-Aquitaine', 'ISO3166-2-lvl4': 'FR-NAQ', 'region': 'France métropolitaine', 'postcode': '64200', 'country': 'France', 'country_code': 'fr'}",43.4813396,-1.5628966
8,Biarritz,Hôtel & Espace Bien,https://www.booking.com/hotel/fr/la-maison-du-lierre.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5388523_88918837_0_2_0&highlighted_blocks=5388523_88918837_0_2_0&matching_block_id=5388523_88918837_0_2_0&sr_pri_blocks=5388523_88918837_0_2_0__21180&from=searchresults,"9,1",Types de lits : 1 lit double ou 2 lits simples,missing value,,
9,Biarritz,Hôtel Le Café de Paris,https://www.booking.com/hotel/fr/le-cafe-de-paris-4.fr.html?aid=356980&label=mkt123sc-5b742487-646e-4dc8-920a-f026225c68f7&ucfs=1&arphpl=1&checkin=2026-02-17&checkout=2026-02-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0a47d8a0527fe43da35d37f6d67e344e&srepoch=1770634997&all_sr_blocks=5425312_88918920_3_2_0&highlighted_blocks=5425312_88918920_3_2_0&matching_block_id=5425312_88918920_3_2_0&sr_pri_blocks=5425312_88918920_3_2_0__48796&from=searchresults,"9,0","2 lits (1 lit simple, 1 grand lit double)",missing value,,
