,city,date,cloudiness,temp_min,temp_max,humidity,pop,rain
0,Mont Saint Michel,2026-02-09,100,7.59,7.59,90,0.0,0.0
1,Mont Saint Michel,2026-02-09,100,8.01,8.85,88,0.29,0.39
2,Mont Saint Michel,2026-02-09,100,8.57,9.06,92,1.0,4.05
3,Mont Saint Michel,2026-02-09,100,10.32,10.32,96,1.0,1.95
4,Mont Saint Michel,2026-02-09,94,9.13,9.13,96,0.76,0.42
5,Mont Saint Michel,2026-02-10,97,10.15,10.15,92,1.0,2.74
6,Mont Saint Michel,2026-02-10,93,9.54,9.54,90,0.75,0.38
7,Mont Saint Michel,2026-02-10,95,9.92,9.92,86,0.23,0.0
8,Mont Saint Michel,2026-02-10,99,10.15,10.15,92,0.0,0.0
9,Mont Saint Michel,2026-02-10,99,11.35,11.35,95,0.66,0.77
10,Mont Saint Michel,2026-02-10,100,12.05,12.05,98,1.0,2.06
11,Mont Saint Michel,2026-02-10,100,11.55,11.55,93,1.0,2.65
12,Mont Saint Michel,2026-02-10,100,11.06,11.06,91,1.0,1.87
13,Mont Saint Michel,2026-02-11,100,11.02,11.02,85,1.0,0.25
14,Mont Saint Michel,2026-02-11,94,10.56,10.56,87,0.0,0.0
15,Mont Saint Michel,2026-02-11,96,10.26,10.26,81,0.2,0.2
16,Mont Saint Michel,2026-02-11,93,9.84,9.84,84,0.0,0.0
17,Mont Saint Michel,2026-02-11,91,11.83,11.83,82,0.0,0.0
18,Mont Saint Michel,2026-02-11,100,10.82,10.82,88,0.96,0.51
19,Mont Saint Michel,2026-02-11,100,12.36,12.36,93,1.0,9.28
20,Mont Saint Michel,2026-02-11,100,10.77,10.77,77,1.0,5.64
21,Mont Saint Michel,2026-02-12,73,8.45,8.45,86,0.8,0.0
22,Mont Saint Michel,2026-02-12,88,8.44,8.44,90,1.0,0.66
23,Mont Saint Michel,2026-02-12,95,9.62,9.62,86,1.0,0.66
24,Mont Saint Michel,2026-02-12,96,9.48,9.48,87,1.0,1.02
25,Mont Saint Michel,2026-02-12,94,10.98,10.98,83,1.0,0.54
26,Mont Saint Michel,2026-02-12,66,10.29,10.29,81,0.64,0.39
27,Mont Saint Michel,2026-02-12,52,8.16,8.16,85,0.07,0.0
28,Mont Saint Michel,2026-02-12,99,7.85,7.85,90,0.0,0.0
29,Mont Saint Michel,2026-02-13,88,6.93,6.93,95,0.0,0.0
30,Mont Saint Michel,2026-02-13,15,6.56,6.56,95,0.0,0.0
31,Mont Saint Michel,2026-02-13,49,6.67,6.67,95,0.0,0.0
32,Mont Saint Michel,2026-02-13,80,7.53,7.53,86,0.0,0.0
33,Mont Saint Michel,2026-02-13,89,8.55,8.55,81,0.24,0.32
34,Mont Saint Michel,2026-02-13,70,8.85,8.85,82,1.0,0.95
35,Mont Saint Michel,2026-02-13,63,5.69,5.69,91,1.0,0.72
36,Mont Saint Michel,2026-02-13,100,4.0,4.0,96,1.0,0.63
37,Mont Saint Michel,2026-02-14,100,3.36,3.36,88,1.0,1.42
38,Mont Saint Michel,2026-02-14,68,2.96,2.96,75,0.0,0.0
39,Mont Saint Michel,2026-02-14,38,2.52,2.52,76,0.0,0.0
40,St Malo,2026-02-09,75,7.29,7.87,100,0.89,0.56
41,St Malo,2026-02-09,83,7.81,8.86,95,1.0,0.41
42,St Malo,2026-02-09,92,8.7,9.4,95,1.0,5.07
43,St Malo,2026-02-09,100,10.18,10.18,92,1.0,1.14
44,St Malo,2026-02-09,79,9.48,9.48,95,0.0,0.0
45,St Malo,2026-02-10,89,10.59,10.59,88,1.0,2.0
46,St Malo,2026-02-10,89,9.84,9.84,89,0.23,0.17
47,St Malo,2026-02-10,93,10.28,10.28,85,0.0,0.0
48,St Malo,2026-02-10,96,10.13,10.13,91,0.0,0.0
49,St Malo,2026-02-10,98,11.59,11.59,95,0.65,0.69
50,St Malo,2026-02-10,100,11.84,11.84,97,1.0,1.29
51,St Malo,2026-02-10,100,11.51,11.51,90,1.0,2.33
52,St Malo,2026-02-10,99,11.43,11.43,86,1.0,1.25
53,St Malo,2026-02-11,100,11.36,11.36,82,0.8,0.0
54,St Malo,2026-02-11,91,11.06,11.06,81,0.0,0.0
55,St Malo,2026-02-11,90,10.53,10.53,78,0.0,0.0
56,St Malo,2026-02-11,35,10.3,10.3,79,0.0,0.0
57,St Malo,2026-02-11,67,11.96,11.96,80,0.0,0.0
58,St Malo,2026-02-11,100,10.7,10.7,88,0.75,0.39
59,St Malo,2026-02-11,100,11.45,11.45,95,1.0,8.96
60,St Malo,2026-02-11,77,10.49,10.49,74,1.0,1.5
61,St Malo,2026-02-12,56,9.12,9.12,80,0.8,0.0
62,St Malo,2026-02-12,88,9.4,9.4,83,0.74,0.39
63,St Malo,2026-02-12,94,9.64,9.64,85,0.9,0.6
64,St Malo,2026-02-12,96,9.85,9.85,85,0.89,0.59
65,St Malo,2026-02-12,86,10.88,10.88,80,0.92,0.37
66,St Malo,2026-02-12,80,10.38,10.38,78,0.2,0.17
67,St Malo,2026-02-12,47,9.12,9.12,82,0.0,0.0
68,St Malo,2026-02-12,100,8.76,8.76,82,0.0,0.0
69,St Malo,2026-02-13,76,7.45,7.45,91,0.0,0.0
70,St Malo,2026-02-13,12,7.27,7.27,90,0.0,0.0
71,St Malo,2026-02-13,52,8.55,8.55,77,0.0,0.0
72,St Malo,2026-02-13,64,8.71,8.71,74,0.0,0.0
73,St Malo,2026-02-13,83,9.21,9.21,77,0.56,0.59
74,St Malo,2026-02-13,60,8.97,8.97,79,1.0,0.58
75,St Malo,2026-02-13,64,5.8,5.8,86,1.0,0.59
76,St Malo,2026-02-13,100,4.42,4.42,94,1.0,1.03
77,St Malo,2026-02-14,100,5.54,5.54,69,1.0,0.46
78,St Malo,2026-02-14,84,5.09,5.09,64,0.0,0.0
79,St Malo,2026-02-14,53,4.74,4.74,62,0.0,0.0
80,Bayeux,2026-02-09,100,5.14,6.99,88,0.0,0.0
81,Bayeux,2026-02-09,100,6.91,10.44,85,0.0,0.0
82,Bayeux,2026-02-09,100,7.94,9.34,84,0.28,0.22
83,Bayeux,2026-02-09,100,8.99,8.99,91,1.0,4.07
84,Bayeux,2026-02-09,96,10.03,10.03,92,0.34,0.22
85,Bayeux,2026-02-10,97,9.13,9.13,93,0.36,0.13
86,Bayeux,2026-02-10,100,9.83,9.83,93,1.0,1.09
87,Bayeux,2026-02-10,100,9.66,9.66,93,1.0,0.18
88,Bayeux,2026-02-10,100,10.14,10.14,90,0.2,0.14
89,Bayeux,2026-02-10,100,12.36,12.36,82,0.0,0.0
90,Bayeux,2026-02-10,100,11.41,11.41,94,1.0,6.38
91,Bayeux,2026-02-10,100,11.3,11.3,96,1.0,1.88
92,Bayeux,2026-02-10,94,10.33,10.33,91,0.2,0.17
93,Bayeux,2026-02-11,97,10.55,10.55,91,0.25,0.34
94,Bayeux,2026-02-11,100,10.27,10.27,90,0.0,0.0
95,Bayeux,2026-02-11,96,9.29,9.29,88,0.32,0.4
96,Bayeux,2026-02-11,99,9.54,9.54,86,0.38,0.21
97,Bayeux,2026-02-11,99,11.36,11.36,77,0.0,0.0
98,Bayeux,2026-02-11,100,12.08,12.08,80,0.0,0.0
99,Bayeux,2026-02-11,100,10.02,10.02,93,1.0,5.39
100,Bayeux,2026-02-11,100,10.6,10.6,85,1.0,4.45
101,Bayeux,2026-02-12,86,7.63,7.63,87,0.8,0.0
102,Bayeux,2026-02-12,78,8.06,8.06,92,0.99,0.43
103,Bayeux,2026-02-12,89,8.69,8.69,92,0.33,0.15
104,Bayeux,2026-02-12,94,9.42,9.42,88,1.0,0.43
105,Bayeux,2026-02-12,55,10.9,10.9,81,0.91,0.42
106,Bayeux,2026-02-12,25,9.99,9.99,82,0.9,0.47
107,Bayeux,2026-02-12,49,7.64,7.64,90,0.0,0.0
108,Bayeux,2026-02-12,17,6.97,6.97,91,0.0,0.0
109,Bayeux,2026-02-13,49,7.75,7.75,86,0.0,0.0
110,Bayeux,2026-02-13,55,6.11,6.11,94,0.0,0.0
111,Bayeux,2026-02-13,56,5.87,5.87,92,0.0,0.0
112,Bayeux,2026-02-13,75,7.36,7.36,84,0.0,0.0
113,Bayeux,2026-02-13,79,9.53,9.53,77,0.2,0.37
114,Bayeux,2026-02-13,99,8.21,8.21,87,1.0,1.08
115,Bayeux,2026-02-13,81,6.77,6.77,91,1.0,0.93
116,Bayeux,2026-02-13,68,4.28,4.28,97,1.0,0.37
117,Bayeux,2026-02-14,84,3.13,3.13,92,1.0,1.39
118,Bayeux,2026-02-14,100,4.08,4.08,67,0.86,0.0
119,Bayeux,2026-02-14,83,3.36,3.36,62,0.39,0.0
120,Le Havre,2026-02-09,0,7.51,7.77,87,0.0,0.0
121,Le Havre,2026-02-09,33,8.22,9.65,84,0.0,0.0
122,Le Havre,2026-02-09,52,9.62,10.67,77,0.0,0.0
123,Le Havre,2026-02-09,89,9.14,9.14,88,1.0,2.36
124,Le Havre,2026-02-09,100,9.3,9.3,91,1.0,4.74
125,Le Havre,2026-02-10,100,9.85,9.85,90,1.0,0.11
126,Le Havre,2026-02-10,92,9.43,9.43,95,1.0,0.94
127,Le Havre,2026-02-10,97,9.67,9.67,93,1.0,0.21
128,Le Havre,2026-02-10,100,9.72,9.72,92,0.2,0.21
129,Le Havre,2026-02-10,100,10.31,10.31,87,0.2,0.13
130,Le Havre,2026-02-10,99,10.19,10.19,97,1.0,5.02
131,Le Havre,2026-02-10,100,10.87,10.87,97,1.0,3.18
132,Le Havre,2026-02-10,100,10.53,10.53,91,0.74,0.39
133,Le Havre,2026-02-11,100,10.29,10.29,93,1.0,0.68
134,Le Havre,2026-02-11,100,10.35,10.35,87,0.68,0.35
135,Le Havre,2026-02-11,100,10.11,10.11,87,1.0,0.56
136,Le Havre,2026-02-11,100,9.85,9.85,85,1.0,0.67
137,Le Havre,2026-02-11,100,10.42,10.42,79,0.73,0.0
138,Le Havre,2026-02-11,100,10.84,10.84,81,0.0,0.0
139,Le Havre,2026-02-11,100,9.77,9.77,93,1.0,2.69
140,Le Havre,2026-02-11,100,11.24,11.24,83,1.0,9.05
141,Le Havre,2026-02-12,99,9.37,9.37,80,1.0,0.1
142,Le Havre,2026-02-12,99,8.58,8.58,87,0.0,0.0
143,Le Havre,2026-02-12,100,9.07,9.07,86,0.38,0.46
144,Le Havre,2026-02-12,100,9.73,9.73,84,1.0,0.74
145,Le Havre,2026-02-12,70,10.0,10.0,80,1.0,0.23
146,Le Havre,2026-02-12,43,9.85,9.85,79,0.22,0.21
147,Le Havre,2026-02-12,65,9.11,9.11,84,0.0,0.0
148,Le Havre,2026-02-12,88,8.33,8.33,87,0.2,0.11
149,Le Havre,2026-02-13,91,8.55,8.55,85,0.0,0.0
150,Le Havre,2026-02-13,81,7.4,7.4,89,0.0,0.0
151,Le Havre,2026-02-13,59,7.62,7.62,87,0.0,0.0
152,Le Havre,2026-02-13,100,8.32,8.32,80,0.0,0.0
153,Le Havre,2026-02-13,92,8.29,8.29,80,0.2,0.28
154,Le Havre,2026-02-13,80,8.55,8.55,81,1.0,1.11
155,Le Havre,2026-02-13,90,8.22,8.22,86,1.0,1.89
156,Le Havre,2026-02-13,80,5.52,5.52,94,1.0,1.15
157,Le Havre,2026-02-14,90,4.33,4.33,94,1.0,2.69
158,Le Havre,2026-02-14,100,5.04,5.04,74,1.0,1.74
159,Le Havre,2026-02-14,85,4.74,4.74,61,0.8,0.0
160,Rouen,2026-02-09,100,5.18,6.32,93,0.0,0.0
